max,min,wind,rain,humidi,cloud,pressure,date,temp
33,25,7,3.9,65,49,1012,2018-01-10,37.90754921336124
33,25,12,0.0,62,25,1012,2019-01-10,33.14153903091734
34,25,10,0.0,62,23,1009,2020-01-10,33.362633403898975
32,22,5,0.0,61,16,1010,2021-01-10,30.018359213500126
28,18,9,0.0,69,26,1014,2009-01-11,27.799999999999997
35,25,6,0.1,61,30,1012,2010-01-11,35.71530615433009
32,22,4,0.0,73,17,1008,2011-01-11,30.560000000000002
28,24,8,0.4,75,46,1011,2012-01-11,34.902943725152284
33,24,6,2.8,75,21,1011,2013-01-11,32.27030615433009
33,24,5,0.0,63,34,1013,2014-01-11,35.21835921350013
33,24,5,0.1,69,24,1011,2015-01-11,33.28335921350013
33,25,8,0.0,68,31,1013,2016-01-11,34.862943725152284
31,25,7,3.0,75,50,1009,2017-01-11,37.382549213361244
35,25,7,0.0,57,18,1012,2018-01-11,33.132549213361244
33,25,8,0.0,61,44,1012,2019-01-11,37.30294372515228
34,24,8,0.0,64,29,1009,2020-01-11,34.30294372515229
33,23,6,0.0,59,21,1011,2021-01-11,31.870306154330095
29,19,5,0.0,69,40,1016,2009-01-12,32.09835921350013
34,25,7,0.0,61,10,1013,2010-01-12,31.132549213361244
32,23,4,0.4,75,24,1008,2011-01-12,32.44
32,23,8,3.1,75,32,1010,2012-01-12,33.17794372515228
33,24,6,0.0,71,12,1011,2013-01-12,30.8103061543301
33,25,4,1.4,70,38,1013,2014-01-12,36.589999999999996
34,24,6,2.0,70,26,1012,2015-01-12,33.81030615433009
34,25,13,0.0,68,13,1012,2016-01-12,31.27666923472161
32,25,8,0.0,75,37,1008,2017-01-12,35.602943725152286
33,23,10,0.0,54,13,1013,2018-01-12,29.782633403898974
34,25,7,1.8,62,35,1012,2019-01-12,35.862549213361234
33,24,8,0.0,67,35,1010,2020-01-12,35.08294372515228
31,22,10,0.0,56,9,1012,2021-01-12,27.502633403898976
30,18,8,0.0,65,20,1016,2009-01-15,27.662943725152285
33,22,7,0.0,60,21,1015,2010-01-15,31.352549213361243
33,23,5,0.0,71,16,1011,2011-01-15,31.23835921350013
32,24,11,2.1,72,31,1007,2012-01-15,33.21502512578677
33,23,7,0.1,72,27,1012,2013-01-15,33.217549213361245
34,21,7,0.0,63,2,1015,2014-01-15,27.612549213361245
35,23,7,0.0,56,1,1014,2015-01-15,28.752549213361245
34,26,13,0.0,65,24,1010,2016-01-15,33.876669234721604
31,25,7,34.7,83,76,1010,2017-01-15,38.007549213361244
33,24,5,0.0,61,57,1010,2018-01-15,39.71835921350012
34,25,8,0.0,62,33,1010,2019-01-15,35.58294372515228
34,24,10,0.0,63,7,1011,2020-01-15,29.722633403898975
32,23,8,0.0,67,8,1010,2021-01-15,28.68294372515229
